Latitude,Longitude,Short Description,Long Description
35.2781206,-80.9030265,Business block on 400 Second Street ,"Looking at the 400 block of East Second Street (now MLK Blvd). Businesses here include Fred Patton's cafe at 430 E 2nd St, Helms Grocery, Jimmie's Place, and the Automatic Cafe. Helms Grocery was at 427 E. 2nd street, opened in 1935, owned and operated by Eustice and Mabel Ayers Helms, who also operated a meat store at 539 S. McDowell. Their descendents Curtis and Dewey Helms owned the store into the 1950s, and Johnny Dwiggins took over in 1951. Near current day NASCAR Hall of fame. "
35.2781206,-80.9030265,Second Street Brooklyn ,"400 Block of Second Street looking toward Brevard St, with the Queen City Drugs and Pharmacy at 422 E. 2nd Street, the Second Street Grill at 414 E. 2nd Street, at 401 E. 2nd St and the Lincoln Theater at 400 E. 2nd St visible on the left side of the photograph. On the right side you can see Johnny's Self Service Grocery and Meats at 425 E. 2nd Street, and the Veterans Record Store at 421 E. 2nd street. The AME Zion Publishing House would be right across the street from the Lincoln Theater at 401 E. 2nd St. Just beyond the Lincoln Theater with the angled roof you can see the Brevard St. Library at 401 S. Brevard St. on the far edge of the image. Reuben McKissick's Shoe Repair would be at 419 E. 2nd St."
35.2781206,-80.9030265,Second Street Brooklyn Businesses,"Straight on shot of 412 E. Second St, with several finely dressed individuals posing for the camera. The 412 is visible with ""The Afro American Mutual  Insurance Company"" directly below. To the left is the Brooklyn Drug Company, with ""J.T. Sanders, Prop"" underneath. To the right is the ""W.P. Robinson Co. Funeral Directors and Embalmers"" There 25 men present, and 7 women. The light skinned man seated in the center of the photograph is Thad Tate, landowner and business owner. This photograph appears to be from the 1910s. "
35.2781206,-80.9030265,Reuben McKissick - Shoe Shop,"Image of Reuben McKissick and his wife. McKissick owned Reuben McKissick's Shoe Repair, at 419 E. Second St. From Arcadia image files."
35.2212699,-80.84265,Queen City Pharmacy ,"Queen City Pharmacy, sign in window says ""watch for grand opening,"" sign in front and to left of building says ""New Home of Queen City Pharmacy."" This building was once formerly known as Sanders Drug Store. "
35.2212699,-80.84265,Sanders Drug Store ,"Five men and one woman well dressed in front of business with window. This business was the Queen City Drug Store, also known as Sanders Drug Store at one time. When it was Queen City Drug Store it was owned by prominent Brooklyn resident J.T. Willliams, the U.S. Ambassador to Sierra Leone. who lived on Brevard St. From Arcadia image files. "
35.2781206,-80.9030265,Martha'sTonsorial Parlor,"Photo of Martha McClinton Williams, owner of Martha's Tonsorial Parlor,/Barbershop at 509 E. Second St. From Arcadia image files "
35.2201108,-80.8423617,Poor housing in Brooklyn with city government buildings in background ,"Kids in Brooklyn standing in front of poorly constructed housing, right near Second Street (current MLK Jr Blvd). Building on far right of photo is Mecklenburg Register of Deeds, 720 e. 4th street. Building on left is Mecklenburg Criminal Justice Center Building, 715 E. 4th St. UNCC photo says ""Baugh Estate"" on photo. "
35.2222411,-80.8433498,Brevard Street Library,"Panoramic photograph in front of the Brevard St. Library at 401 S. Brevard St. The sign hanging from the front door reads ""Brevard Street Library, Branch of Charlotte Public Library."" Members of the Ramses Temple are gathered in front of the library for the photo, with many wearing the ceremonial fez headwear of their order. Five men are seated in the very front of the gathering in chairs. The photograph is labeled ""Ramses Temple #51, (unsure of letters) Shrine, 7-28-1944. The bottom corner of the photo indicates that it was taken by the Carolina Studio. "
35.2222411,-80.8433498,Allegra Westbrooks,"Allegra Westbrooks seated a table with an older African American woman standing and talking with her at an unknown event.Prior to desegregation, Ms. Westbrooks managed the only library serving African American residents in Charlotte at the time, the Brevard Street Library. She was the first African American librarian at the former Public Library of Charlotte and & Mecklenburg County. From Arcadia Image files. "
35.2222411,-80.8433498,"Brevard Street Library, Children","Interior shot of the Brevard Street Library with ten children sitting at a table reading or standing up looking at books, along with one female adult who is helping them. "
35.2222411,-80.8433498,"Brevard Street Library, Teenage Patrons","Interior shot of the Brevard Street Library with 6 female and 1 male sitting at a table and reading, with ""Teenage Corner"" sign on the table. "
35.2224999,-80.8423928,Alexander Funeral Home,
35.2186575,-80.8375318,United House of Prayer ,"United House of Prayer facade at 310 South McDowell St. Above church name is carved ""Bishop C. M. Grace, Founder."" From Arcadia image files. "
35.2186575,-80.8375318,United House of Prayer at night ,"Crowd, many with umbrellas, streaming into the entrance of the House of Prayer at 310 S. McDowell at night time. From Arcadia image files. "
35.2186575,-80.8375318,United House of Prayer wedding ,"Large group posing in front of wooden facade with ""United House of Prayer."" Unclear if this is McDowell St. location. From Arcadia image files. "
